"","species","factor","1","2","3","4","5","6","7","8","9","10","11","12"
"62","Prunus spinosa","ct",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","Pseudotsuga menziesii","ct",NA,0.1,0.2,0.4,0.6,0.8,1,1,1,1,1,1
"64","Quercus petraea","ct",0.6,0.7,0.8,0.9,1,1,1,1,1,1,1,1
"65","Quercus robur","ct",0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.85,0.95,1.1,1.2
"66","Quercus rubra","ct",0.5,0.55,0.65,0.75,1,1.1,1.5,2,2,2,2,2
"67","Rhamnus cathartica","ct",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","Salix caprea","ct",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","Salix cinerea","ct",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Salix pentandra","ct",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Salix phylicifolia","ct",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","Sequoia sempervirens A1","ct",1,1.1,1.1,1.1,1.1,1.1,1.1,0.7,0.6,0.5,0.3,0
"73","Sequoia sempervirens C","ct",1.1,1.1,1.1,1.1,1.1,1.1,1,0.9,0.8,0.65,0.55,0.4
"74","Sequoiadendron giganteum","ct",NA,NA,NA,0.3,0.6,0.8,1.1,1,1,1,1,1
"75","Sorbus aria","ct",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","Sorbus aucuparia","ct",1,1,1,1,1,1,1,1,1,1,1,1
"77","Sorbus domestica","ct",NA,NA,NA,0.6,1,1,1,1,1,1.1,1.1,1.1
"78","Sorbus torminalis","ct",NA,NA,0.3,0.6,0.95,1.1,1.1,1.1,1.1,1.1,1.1,1.1
"79","Taxus baccata","ct",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","Thuja plicata","ct",0,0.2,0.6,0.9,1.1,1.1,1,0.7,0.55,0.3,0,NA
"81","Tilia cordata","ct",NA,NA,NA,NA,0.6,0.9,1,1,1,1,1,1
"82","Tilia platyphyllos","ct",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","Tilia x europaea","ct",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","Tsuga heterophyla","ct",1,1,1,1,1,1,0.9,0.75,0.6,0.3,0,NA
"85","Ulmus glabra","ct",1,1,1,1,1,1,1,1,1,1,1,1
"86","Ulmus minor","ct",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
