"59","Populus tremula","at",0,0.5,0.75,1,1.1,1.1,1,0.75,0.6,0.4
"60","Prunus avium","at",NA,NA,0.5,0.75,1,1.1,1.1,1,0.75,0.55
"61","Prunus padus","at",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","Prunus spinosa","at",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","Pseudotsuga menziesii","at",0,0.2,0.5,0.7,1,1.1,1.1,1,0.9,0.7
"64","Quercus petraea","at",NA,0,0.5,0.75,1,1.1,1.1,1,0.9,0.75
"65","Quercus robur","at",NA,0,0.55,0.74,0.85,1,1,1,0.9,0.7
"66","Quercus rubra","at",NA,NA,0.5,0.8,1,1.1,1.2,1.1,1,0.75
"67","Rhamnus cathartica","at",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","Salix caprea","at",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","Salix cinerea","at",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Salix pentandra","at",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Salix phylicifolia","at",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","Sequoia sempervirens A1","at",NA,NA,0.3,0.6,0.9,1,1,1,1,1
"73","Sequoia sempervirens C","at",0,NA,0.5,0.7,0.9,1,1.1,1.1,1.1,1.1
"74","Sequoiadendron giganteum","at",NA,NA,0.5,0.8,1.1,1.2,1.1,0.9,0.7,0.5
"75","Sorbus aria","at",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","Sorbus aucuparia","at",0.5,0.65,0.8,0.95,1.1,1.2,1.1,0.9,0.7,0.5
"77","Sorbus domestica","at",0.3,0.5,0.65,0.8,1,NA,NA,NA,NA,0.8
"78","Sorbus torminalis","at",NA,NA,NA,0.5,0.85,1,1.1,1.1,0.9,0.75
"79","Taxus baccata","at",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","Thuja plicata","at",NA,0.3,0.6,0.9,1,1,1,1,1,1
"81","Tilia cordata","at",NA,NA,0.5,0.7,0.9,1,1,1,0.75,0.5
"82","Tilia platyphyllos","at",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","Tilia x europaea","at",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","Tsuga heterophyla","at",0,0.3,0.7,1,1.1,1.2,1,0.8,0.6,0
"85","Ulmus glabra","at",NA,0,0.5,0.75,1,1,1,1,1,0.75
"86","Ulmus minor","at",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
