"","species","factor","0","1","2","3","4","5","6","7","8"
"74","Sequoiadendron giganteum","smr",NA,NA,NA,NA,0.74,1.1,1,0.5,NA
"75","Sorbus aria","smr",NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","Sorbus aucuparia","smr",NA,NA,NA,0.6,0.95,1.1,1,0.6,NA
"77","Sorbus domestica","smr",NA,NA,NA,NA,0.65,1,1,0.7,0.5
"78","Sorbus torminalis","smr",0,NA,NA,0.3,0.65,1.1,1.1,0.65,NA
"79","Taxus baccata","smr",NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","Thuja plicata","smr",0,0.4,0.7,1,1.1,1.1,0.6,0,NA
"81","Tilia cordata","smr",NA,NA,NA,0.6,1,1,0.7,NA,NA
"82","Tilia platyphyllos","smr",NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","Tilia x europaea","smr",NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","Tsuga heterophyla","smr",NA,0,0.2,0.6,1,1.2,1,0.6,0
"85","Ulmus glabra","smr",NA,NA,0,0.6,1,1,0.6,0,NA
"86","Ulmus minor","smr",NA,NA,NA,NA,NA,NA,NA,NA,NA
