"52","Pinus peuce","md",0.3,0.6,0.75,1,1.1,1.1,1.1,1.1,1.1,1,0.75,0.5
"53","Pinus pinaster","md",NA,0.2,0.5,0.8,1,1.05,1,1,0.9,0.75,0.6,0.5
"54","Pinus radiata","md",NA,NA,0.3,0.6,0.8,1,1,1,0.9,0.8,0.7,0.6
"55","Pinus strobus","md",0.6,0.9,1,1.1,1.1,0.9,0.8,NA,0.6,0.5,0.4,0.3
"56","Pinus sylvestris","md",0.5,0.7,0.85,1,1,1,1,0.9,0.75,0.6,0.5,0.3
"57","Populus nigra","md",0.5,0.7,0.8,1,1,1,1,1,0.8,0.6,0.4,0
"58","Populus nigra subsp. betulifolia","md",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Populus tremula","md",0.5,0.75,1,1.1,1.1,1.1,1,0.9,0.8,0.6,0.2,NA
"60","Prunus avium","md",0.5,0.75,1,1.1,1.1,1.1,1.1,1,0.75,0.5,NA,NA
"61","Prunus padus","md",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","Prunus spinosa","md",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","Pseudotsuga menziesii","md",0.2,0.5,0.7,1,1.1,1.2,1.1,1,0.75,0.4,0,NA
"64","Quercus petraea","md",0.8,1,1.1,1.1,1.1,1.1,1,0.85,0.65,0.4,0,NA
"65","Quercus robur","md",0.3,0.6,0.8,1,1,1,1,0.9,0.7,0.5,0.3,0
"66","Quercus rubra","md",0.5,0.59,0.75,1,1,1.1,1.1,1,0.85,0.55,0.2,NA
"67","Rhamnus cathartica","md",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","Salix caprea","md",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","Salix cinerea","md",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Salix pentandra","md",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Salix phylicifolia","md",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","Sequoia sempervirens A1","md",0.6,0.8,1,1,1,1,1,0.8,0.6,0.4,0,NA
"73","Sequoia sempervirens C","md",0.5,NA,NA,1.1,1.2,NA,NA,0.75,0.6,0.5,0.4,0.3
"74","Sequoiadendron giganteum","md",NA,0.4,0.75,1,1.1,1.2,1.1,0.9,0.7,0.6,0.5,0.3
"75","Sorbus aria","md",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","Sorbus aucuparia","md",1.1,1.1,1.1,1.1,1.1,1.1,1.1,0.9,0.8,0.6,0.4,0.1
"77","Sorbus domestica","md",0.5,1,1.1,1.2,1.1,1,0.85,0.7,0.5,0.3,NA,0
"78","Sorbus torminalis","md",0,NA,0.5,0.75,0.95,1.1,1.1,1,0.95,0.8,0.55,NA
"79","Taxus baccata","md",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","Thuja plicata","md",0.6,0.9,1,1.1,1.1,1.1,1,0.8,0.6,0.4,0,NA
"81","Tilia cordata","md",NA,0.5,0.75,1,1,1,1,0.9,0.75,0.5,NA,NA
"82","Tilia platyphyllos","md",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","Tilia x europaea","md",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","Tsuga heterophyla","md",1,1,1,1,1,1,0.8,0.5,0.2,NA,NA,NA
"85","Ulmus glabra","md",0.5,0.75,0.9,1,1.1,1,0.8,0.7,0.4,NA,NA,NA
"86","Ulmus minor","md",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
